gutenberg_author_id,gutenberg_id,title,author,language,gutenberg_bookshelf,rights,has_text,birthdate,deathdate
48,1153,The Chessmen of Mars,"Burroughs, Edgar Rice",en,Science Fiction,Public domain in the USA.,TRUE,1875,1950
48,545,At the Earth's Core,"Burroughs, Edgar Rice",en,Science Fiction,Public domain in the USA.,TRUE,1875,1950
48,64,The Gods of Mars,"Burroughs, Edgar Rice",en,Science Fiction,Public domain in the USA.,TRUE,1875,1950
48,19515,A Princess of Mars,"Burroughs, Edgar Rice",en,Science Fiction,Public domain in the USA.,TRUE,1875,1950
48,605,Pellucidar,"Burroughs, Edgar Rice",en,Science Fiction,Public domain in the USA.,TRUE,1875,1950
69,139,The Lost World,"Doyle, Arthur Conan",en,Science Fiction,Public domain in the USA.,TRUE,1859,1930
69,126,The Poison Belt,"Doyle, Arthur Conan",en,Science Fiction,Public domain in the USA.,TRUE,1859,1930
132,29135,"With the Night Mail: A Story of 2000 A.D.
(Together with extracts from the comtemporary magazine in which it appeared)","Kipling, Rudyard",en,Science Fiction,Public domain in the USA.,TRUE,1865,1936
317,604,Gulliver of Mars,"Arnold, Edwin Lester",en,Fantasy/Science Fiction,Public domain in the USA.,TRUE,1857,1935
327,7303,Equality,"Bellamy, Edward",en,Science Fiction,Public domain in the USA.,TRUE,1850,1898
327,6903,Miss Ludington's Sister,"Bellamy, Edward",en,Science Fiction,Public domain in the USA.,TRUE,1850,1898
327,624,"Looking Backward, 2000 to 1887","Bellamy, Edward",en,Science Fiction,Public domain in the USA.,TRUE,1850,1898
327,22701,"The Blindman's World
1898","Bellamy, Edward",en,Science Fiction,Public domain in the USA.,TRUE,1850,1898
327,7052,Dr. Heidenhoff's Process,"Bellamy, Edward",en,Science Fiction,Public domain in the USA.,TRUE,1850,1898
403,3479,The Metal Monster,"Merritt, Abraham",en,Science Fiction,Public domain in the USA.,TRUE,1884,1943
403,765,The Moon Pool,"Merritt, Abraham",en,Science Fiction,Public domain in the USA.,TRUE,1884,1943
585,26856,Solander's Radio Tomb,"Butler, Ellis Parker",en,Science Fiction,Public domain in the USA.,TRUE,1869,1937
604,1329,A Voyage to Arcturus,"Lindsay, David",en,Best Books Ever Listings/Science Fiction,Public domain in the USA.,TRUE,1876,1945
668,19174,The Man Who Rocked the Earth,"Wood, Robert Williams",en,Science Fiction,Public domain in the USA.,TRUE,1868,1955
671,1607,A Journey in Other Worlds: A Romance of the Future,"Astor, John Jacob",en,Science Fiction,Public domain in the USA.,TRUE,1864,1912
946,32272,Insidekick,"Bone, Jesse F. (Jesse Franklin)",en,Science Fiction,Public domain in the USA.,TRUE,1916,2006
946,31701,Noble Redman,"Bone, Jesse F. (Jesse Franklin)",en,Science Fiction,Public domain in the USA.,TRUE,1916,2006
946,50904,On the Fourth Planet,"Bone, Jesse F. (Jesse Franklin)",en,Science Fiction,Public domain in the USA.,TRUE,1916,2006
946,51852,Founding Father,"Bone, Jesse F. (Jesse Franklin)",en,Science Fiction,Public domain in the USA.,TRUE,1916,2006
946,32237,Assassin,"Bone, Jesse F. (Jesse Franklin)",en,Science Fiction,Public domain in the USA.,TRUE,1916,2006
946,26772,A Question of Courage,"Bone, Jesse F. (Jesse Franklin)",en,Science Fiction,Public domain in the USA.,TRUE,1916,2006
946,29271,The Issahar Artifacts,"Bone, Jesse F. (Jesse Franklin)",en,Science Fiction,Public domain in the USA.,TRUE,1916,2006
946,51395,Survival Type,"Bone, Jesse F. (Jesse Franklin)",en,Science Fiction,Public domain in the USA.,TRUE,1916,2006
946,26332,A Prize for Edie,"Bone, Jesse F. (Jesse Franklin)",en,Science Fiction,Public domain in the USA.,TRUE,1916,2006
946,32124,To Choke an Ocean,"Bone, Jesse F. (Jesse Franklin)",en,Science Fiction,Public domain in the USA.,TRUE,1916,2006
946,2509,The Lani People,"Bone, Jesse F. (Jesse Franklin)",en,Science Fiction,Public domain in the USA.,TRUE,1916,2006
946,26206,Pandemic,"Bone, Jesse F. (Jesse Franklin)",en,Science Fiction,Public domain in the USA.,TRUE,1916,2006
1011,18257,The Universe — or Nothing,"Moldeven, Meyer",en,Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,TRUE,1917,NA
1288,27730,The Doomsman,"Sutphen, Van Tassel",en,Science Fiction,Public domain in the USA.,TRUE,1861,1945
1591,4920,The Blind Spot,"Hall, Austin",en,Science Fiction,Public domain in the USA.,TRUE,1882,1933
1592,4920,The Blind Spot,"Flint, Homer Eon",en,Science Fiction,Public domain in the USA.,TRUE,1888,1924
1592,5965,The Devolutionist and the Emancipatrix,"Flint, Homer Eon",en,Science Fiction,Public domain in the USA.,TRUE,1888,1924
1592,5703,The Lord of Death and the Queen of Life,"Flint, Homer Eon",en,Science Fiction,Public domain in the USA.,TRUE,1888,1924
1592,5699,The Emancipatrix,"Flint, Homer Eon",en,Science Fiction,Public domain in the USA.,TRUE,1888,1924
1616,8681,The Face and the Mask,"Barr, Robert",en,Science Fiction,Public domain in the USA.,TRUE,1850,1912
1756,19174,The Man Who Rocked the Earth,"Train, Arthur Cheney",en,Science Fiction,Public domain in the USA.,TRUE,1875,1945
1992,23678,Tales of Fantasy and Fact,"Matthews, Brander",en,Science Fiction,Public domain in the USA.,TRUE,1852,1929
2120,19141,Edison's Conquest of Mars,"Serviss, Garrett Putman",en,Science Fiction,Public domain in the USA.,TRUE,1851,1929
2120,8199,The Moon Metal,"Serviss, Garrett Putman",en,Science Fiction,Public domain in the USA.,TRUE,1851,1929
2120,6630,Curiosities of the Sky,"Serviss, Garrett Putman",en,Science Fiction/Astronomy,Public domain in the USA.,TRUE,1851,1929
2120,18431,"Other Worlds
Their Nature, Possibilities and Habitability in the Light of the Latest Discoveries","Serviss, Garrett Putman",en,Science Fiction/Astronomy,Public domain in the USA.,TRUE,1851,1929
2120,8673,A Columbus of Space,"Serviss, Garrett Putman",en,Science Fiction,Public domain in the USA.,TRUE,1851,1929
2120,21670,Edison's Conquest of Mars,"Serviss, Garrett Putman",en,Science Fiction,Public domain in the USA.,TRUE,1851,1929
2120,9194,The Second Deluge,"Serviss, Garrett Putman",en,Science Fiction,Public domain in the USA.,TRUE,1851,1929
2960,29525,The Leech,"Sheckley, Robert",en,Science Fiction,Public domain in the USA.,TRUE,1928,2005
2960,29876,Death Wish,"Sheckley, Robert",en,Science Fiction,Public domain in the USA.,TRUE,1928,2005
2960,29446,Beside Still Waters,"Sheckley, Robert",en,Science Fiction,Public domain in the USA.,TRUE,1928,2005
2960,29509,Warm,"Sheckley, Robert",en,Science Fiction,Public domain in the USA.,TRUE,1928,2005
2960,29487,Forever,"Sheckley, Robert",en,Science Fiction,Public domain in the USA.,TRUE,1928,2005
2960,33854,Ask a Foolish Question,"Sheckley, Robert",en,Science Fiction,Public domain in the USA.,TRUE,1928,2005
2960,9056,Bad Medicine,"Sheckley, Robert",en,Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,TRUE,1928,2005
2960,50844,Proof of the Pudding,"Sheckley, Robert",en,Science Fiction,Public domain in the USA.,TRUE,1928,2005
2960,32346,Keep Your Shape,"Sheckley, Robert",en,Science Fiction,Public domain in the USA.,TRUE,1928,2005
2960,32040,Diplomatic Immunity,"Sheckley, Robert",en,Science Fiction,Public domain in the USA.,TRUE,1928,2005
2960,51768,Prospector's Special,"Sheckley, Robert",en,Science Fiction,Public domain in the USA.,TRUE,1928,2005
2960,29548,Warrior Race,"Sheckley, Robert",en,Science Fiction,Public domain in the USA.,TRUE,1928,2005
2960,29445,The Hour of Battle,"Sheckley, Robert",en,Science Fiction,Public domain in the USA.,TRUE,1928,2005
2960,29458,Cost of Living,"Sheckley, Robert",en,Science Fiction,Public domain in the USA.,TRUE,1928,2005
2960,51833,Meeting of the Minds,"Sheckley, Robert",en,Science Fiction,Public domain in the USA.,TRUE,1928,2005
2960,32041,One Man's Poison,"Sheckley, Robert",en,Science Fiction,Public domain in the USA.,TRUE,1928,2005
2960,29579,Watchbird,"Sheckley, Robert",en,Science Fiction,Public domain in the USA.,TRUE,1928,2005
2960,20919,The Status Civilization,"Sheckley, Robert",en,Science Fiction,Public domain in the USA.,TRUE,1928,2005
2960,51545,The Sweeper of Loray,"Sheckley, Robert",en,Science Fiction,Public domain in the USA.,TRUE,1928,2005
2960,9055,Bad Medicine,"Sheckley, Robert",en,Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,TRUE,1928,2005
3260,10002,The House on the Borderland,"Hodgson, William Hope",en,Fantasy/Horror/Science Fiction,Public domain in the USA.,TRUE,1877,1918
3260,10966,The Ghost Pirates,"Hodgson, William Hope",en,"Pirates, Buccaneers, Corsairs, etc./Science Fiction",Public domain in the USA.,TRUE,1877,1918
3260,10662,The Night Land,"Hodgson, William Hope",en,Fantasy/Horror/Science Fiction,Public domain in the USA.,TRUE,1877,1918
3826,17029,Shadow of the Mothaship,"Doctorow, Cory",en,Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,TRUE,1971,NA
3826,8086,Down and Out in the Magic Kingdom,"Doctorow, Cory",en,Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,TRUE,1971,NA
3826,17138,"Home Again, Home Again","Doctorow, Cory",en,Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,TRUE,1971,NA
3826,17028,Eastern Standard Tribe,"Doctorow, Cory",en,Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,TRUE,1971,NA
3826,17030,Super Man and the Bug Out,"Doctorow, Cory",en,Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,TRUE,1971,NA
3826,16721,A Place so Foreign,"Doctorow, Cory",en,Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,TRUE,1971,NA
3826,17027,Return to Pleasure Island,"Doctorow, Cory",en,Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,TRUE,1971,NA
3826,17026,Craphound,"Doctorow, Cory",en,Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,TRUE,1971,NA
3826,19000,Printcrime,"Doctorow, Cory",en,Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,TRUE,1971,NA
3826,18224,"Someone Comes to Town, Someone Leaves Town","Doctorow, Cory",en,Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,TRUE,1971,NA
4423,285,The Lost Continent,"Hyne, Charles John Cutcliffe Wright",en,Science Fiction,Public domain in the USA.,TRUE,1866,1944
4956,9862,City of Endless Night,"Hastings, Milo",en,Science Fiction,Public domain in the USA.,TRUE,1884,1957
5042,13423,Zarlah the Martian,"Grisewood, R. Norman (Robert Norman)",en,Science Fiction,Public domain in the USA.,TRUE,1876,1923
5457,14301,Atlantida,"Benoît, Pierre",en,Science Fiction,Public domain in the USA.,TRUE,1886,1962
7021,25550,The Defiant Agents,"Norton, Andre",en,Science Fiction/Science Fiction by Women,Public domain in the USA.,TRUE,1912,2005
7021,20788,Storm Over Warlock,"Norton, Andre",en,Science Fiction/Science Fiction by Women,Public domain in the USA.,TRUE,1912,2005
7021,19090,Star Hunter,"Norton, Andre",en,Science Fiction/Science Fiction by Women,Public domain in the USA.,TRUE,1912,2005
7021,19145,The Time Traders,"Norton, Andre",en,Science Fiction/Science Fiction by Women,Public domain in the USA.,TRUE,1912,2005
7021,18846,Voodoo Planet,"Norton, Andre",en,Science Fiction/Science Fiction by Women,Public domain in the USA.,TRUE,1912,2005
7021,19651,Key Out of Time,"Norton, Andre",en,Science Fiction/Science Fiction by Women,Public domain in the USA.,TRUE,1912,2005
7021,18817,Ralestone Luck,"Norton, Andre",en,Science Fiction,Public domain in the USA.,TRUE,1912,2005
7021,16921,Plague Ship,"Norton, Andre",en,"Pirates, Buccaneers, Corsairs, etc./Science Fiction/Science Fiction by Women",Public domain in the USA.,TRUE,1912,2005
7021,18458,Star Born,"Norton, Andre",en,Science Fiction/Science Fiction by Women,Public domain in the USA.,TRUE,1912,2005
7021,19029,The Gifts of Asti,"Norton, Andre",en,Science Fiction/Science Fiction by Women,Public domain in the USA.,TRUE,1912,2005
7321,41637,The Forgotten Planet,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,29455,Invasion,"Leinster, Murray",en,Science Fiction/Astounding Stories,Public domain in the USA.,TRUE,1896,1975
7321,23612,The Leader,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,42987,Nightmare Planet,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,18172,This World Is Taboo,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,51752,If You Was a Moklin,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,22467,Sand Doom,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,29448,Pariah Planet,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,51102,The Sentimentalists,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,50622,The Silver Menace,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,51782,Doctor,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,17870,Operation Terror,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,30408,The Fifth-Dimension Tube,"Leinster, Murray",en,Science Fiction/Astounding Stories,Public domain in the USA.,TRUE,1896,1975
7321,17355,The Runaway Skyscraper,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,50719,Juju,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,24149,The Ambulance Made Two Trips,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,52574,Third Planet,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,23845,"Talents, Incorporated","Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,51112,The Other Now,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,24035,The Pirates of Ersatz,"Leinster, Murray",en,"Pirates, Buccaneers, Corsairs, etc./Science Fiction",Public domain in the USA.,TRUE,1896,1975
7321,26174,The Machine That Saved The World,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,25051,Space Platform,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,35425,The Mad Planet,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,42901,Creatures of the Abyss,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,18719,Space Tug,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,18361,Operation: Outer Space,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,50585,A Thousand Degrees Below Zero,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,50022,The Wailing Asteroid,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,23439,Attention Saint Patrick,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,20920,Morale: A Story of the War of 1941-43,"Leinster, Murray",en,Science Fiction/Astounding Stories,Public domain in the USA.,TRUE,1896,1975
7321,41586,The Red Dust,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,23636,A Matter of Importance,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,43046,Planet of Dread,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,24104,The Aliens,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,23791,Scrimshaw,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7321,50999,Med Ship Man,"Leinster, Murray",en,Science Fiction,Public domain in the USA.,TRUE,1896,1975
7833,18139,Rip Foster in Ride the Gray Planet,"Goodwin, Harold L. (Harold Leland)",en,Science Fiction,Public domain in the USA.,TRUE,1914,1990
7833,20147,Rip Foster Rides the Gray Planet,"Goodwin, Harold L. (Harold Leland)",en,Science Fiction,Public domain in the USA.,TRUE,1914,1990
7954,19158,The Return,"McGuire, John Joseph",en,Science Fiction,Public domain in the USA.,TRUE,1917,1981
7954,18855,The Return,"McGuire, John Joseph",en,Science Fiction,Public domain in the USA.,TRUE,1917,1981
7954,18346,Null-ABC,"McGuire, John Joseph",en,Science Fiction,Public domain in the USA.,TRUE,1917,1981
7954,20121,Lone Star Planet,"McGuire, John Joseph",en,Science Fiction,Public domain in the USA.,TRUE,1917,1981
7954,18641,Hunter Patrol,"McGuire, John Joseph",en,Science Fiction,Public domain in the USA.,TRUE,1917,1981
8137,50406,Operation Interstellar,"Smith, George O. (George Oliver)",en,Science Fiction,Public domain in the USA.,TRUE,1911,1981
8137,19963,Stop Look and Dig,"Smith, George O. (George Oliver)",en,Science Fiction,Public domain in the USA.,TRUE,1911,1981
8137,20519,Highways in Hiding,"Smith, George O. (George Oliver)",en,Science Fiction,Public domain in the USA.,TRUE,1911,1981
8137,51681,Amateur in Chancery,"Smith, George O. (George Oliver)",en,Science Fiction,Public domain in the USA.,TRUE,1911,1981
8137,23884,History Repeats,"Smith, George O. (George Oliver)",en,Science Fiction,Public domain in the USA.,TRUE,1911,1981
8137,51810,The Undetected,"Smith, George O. (George Oliver)",en,Science Fiction,Public domain in the USA.,TRUE,1911,1981
8137,23599,The Big Fix,"Smith, George O. (George Oliver)",en,Science Fiction,Public domain in the USA.,TRUE,1911,1981
8137,51868,The Troublemakers,"Smith, George O. (George Oliver)",en,Science Fiction,Public domain in the USA.,TRUE,1911,1981
8137,18602,"The Fourth ""R""","Smith, George O. (George Oliver)",en,Science Fiction,Public domain in the USA.,TRUE,1911,1981
8240,51046,...And It Comes Out Here,"Del Rey, Lester",en,Science Fiction,Public domain in the USA.,TRUE,1915,1993
8240,50876,Earthbound,"Del Rey, Lester",en,Science Fiction,Public domain in the USA.,TRUE,1915,1993
8240,31587,Pursuit,"Del Rey, Lester",en,Science Fiction,Public domain in the USA.,TRUE,1915,1993
8240,20212,Police Your Planet,"Del Rey, Lester",en,Science Fiction,Public domain in the USA.,TRUE,1915,1993
8240,32395,No Strings Attached,"Del Rey, Lester",en,Science Fiction,Public domain in the USA.,TRUE,1915,1993
8240,30234,Dead Ringer,"Del Rey, Lester",en,Science Fiction,Public domain in the USA.,TRUE,1915,1993
8240,18768,The Sky Is Falling,"Del Rey, Lester",en,Science Fiction,Public domain in the USA.,TRUE,1915,1993
8240,19471,Badge of Infamy,"Del Rey, Lester",en,Science Fiction,Public domain in the USA.,TRUE,1915,1993
8240,51168,Operation Distress,"Del Rey, Lester",en,Science Fiction,Public domain in the USA.,TRUE,1915,1993
8240,31286,Let 'Em Breathe Space!,"Del Rey, Lester",en,Science Fiction,Public domain in the USA.,TRUE,1915,1993
8240,24196,Victory,"Del Rey, Lester",en,Science Fiction,Public domain in the USA.,TRUE,1915,1993
8301,20659,Ministry of Disturbance,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,18346,Null-ABC,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,19370,Ullr Uprising,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,19067,Police Operation,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,18584,The Edge of the Knife,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,20649,Oomphel in the Sky,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,18261,Operation R.S.V.P.,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,18342,The Answer,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,18814,The Mercenaries,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,19076,Naudsonce,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,18137,Little Fuzzy,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,18641,Hunter Patrol,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,18632,Crossroads of Destiny,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,19158,The Return,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,19445,Omnilingual,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,18105,Genesis,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,18460,Flight From Tomorrow,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,18807,He Walked Around the Horses,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,19338,The Keeper,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,20728,Space Viking,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,19102,Dearest,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,18861,Temple Trouble,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,18831,Time and Time Again,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,20121,Lone Star Planet,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,20726,A Slave is a Slave,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,18949,Day of the Moron,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,19474,Uller Uprising,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,18151,Time Crime,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,18800,Last Enemy,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,18109,Graveyard of Dreams,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,20727,The Cosmic Computer,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,18855,The Return,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8301,19478,Four-Day Planet,"Piper, H. Beam",en,Science Fiction,Public domain in the USA.,TRUE,1904,1964
8443,20551,The White Invaders,"Cummings, Ray",en,Science Fiction/Astounding Stories,Public domain in the USA.,TRUE,1887,1957
8443,20859,Wandl the Invader,"Cummings, Ray",en,Science Fiction/Astounding Stories,Public domain in the USA.,TRUE,1887,1957
8443,29059,The World Beyond,"Cummings, Ray",en,Science Fiction,Public domain in the USA.,TRUE,1887,1957
8443,21094,The Girl in the Golden Atom,"Cummings, Ray",en,Science Fiction,Public domain in the USA.,TRUE,1887,1957
8443,21638,Tarrano the Conqueror,"Cummings, Ray",en,Science Fiction,Public domain in the USA.,TRUE,1887,1957
8443,19066,Brigands of the Moon,"Cummings, Ray",en,Science Fiction,Public domain in the USA.,TRUE,1887,1957
8443,22527,Beyond the Vanishing Point,"Cummings, Ray",en,Science Fiction,Public domain in the USA.,TRUE,1887,1957
8443,25780,The Fire People,"Cummings, Ray",en,Science Fiction,Public domain in the USA.,TRUE,1887,1957
8476,24119,Make Mine Homogenized,"Raphael, Rick",en,Science Fiction,Public domain in the USA.,TRUE,1919,1994
8476,23588,A Filbert Is a Nut,"Raphael, Rick",en,Science Fiction,Public domain in the USA.,TRUE,1919,1994
8476,19111,Code Three,"Raphael, Rick",en,Science Fiction,Public domain in the USA.,TRUE,1919,1994
8557,31324,The Angel of the Revolution: A Tale of the Coming Terror,"Griffith, George Chetwynd",en,Science Fiction,Public domain in the USA.,TRUE,1857,1906
8557,19231,The Mummy and Miss Nitocris: A Phantasy of the Fourth Dimension,"Griffith, George Chetwynd",en,Science Fiction,Public domain in the USA.,TRUE,1857,1906
8557,19476,A Honeymoon in Space,"Griffith, George Chetwynd",en,Science Fiction,Public domain in the USA.,TRUE,1857,1906
8617,19362,In the Year 2889,"Verne, Michel",en,Science Fiction,Public domain in the USA.,TRUE,1861,1925
8800,19660,Man of Many Minds,"Evans, E. Everett (Edward Everett)",en,Science Fiction,Public domain in the USA.,TRUE,1893,1958
8800,50682,The Planet Mappers,"Evans, E. Everett (Edward Everett)",en,Science Fiction,Public domain in the USA.,TRUE,1893,1958
8800,50863,Alien Minds,"Evans, E. Everett (Edward Everett)",en,Science Fiction,Public domain in the USA.,TRUE,1893,1958
8800,22754,Masters of Space,"Evans, E. Everett (Edward Everett)",en,Science Fiction,Public domain in the USA.,TRUE,1893,1958
8842,50566,Falcons of Narabedla,"Bradley, Marion Zimmer",en,Science Fiction,Public domain in the USA.,TRUE,1930,1999
8842,19726,The Door Through Space,"Bradley, Marion Zimmer",en,Science Fiction/Science Fiction by Women,Public domain in the USA.,TRUE,1930,1999
